date,open,high,low,close,volume
2021-09-17,396.20001220703125,400.0,394.0,397.20001220703125,39215
2021-09-20,394.79998779296875,394.79998779296875,371.0,374.0,39881
2021-09-21,372.79998779296875,392.3999938964844,372.79998779296875,381.0,22304
2021-09-22,380.20001220703125,394.0,380.20001220703125,391.20001220703125,17870
2021-09-23,394.6000061035156,400.0,394.3999938964844,398.3999938964844,28497
2021-09-24,399.3999938964844,400.0,390.20001220703125,400.0,18234
2021-09-27,400.0,417.79998779296875,397.20001220703125,410.0,44231
2021-09-28,408.79998779296875,409.0,392.0,393.0,32866
2021-09-29,393.0,409.6000061035156,393.0,409.6000061035156,10168
2021-09-30,409.0,413.0,401.6000061035156,411.0,26271
2021-10-01,405.79998779296875,426.20001220703125,402.20001220703125,420.20001220703125,28881
2021-10-04,420.0,432.0,416.0,423.0,27362
2021-10-05,420.0,429.0,419.0,424.0,19333
2021-10-06,423.0,465.20001220703125,422.3999938964844,464.0,91525
2021-10-07,461.0,467.79998779296875,458.0,466.0,50841
2021-10-08,465.20001220703125,470.79998779296875,450.0,466.20001220703125,70700
2021-10-11,466.20001220703125,474.3999938964844,464.20001220703125,466.0,27579
2021-10-12,463.0,493.79998779296875,460.0,490.79998779296875,82317
2021-10-13,485.0,494.0,478.0,484.0,30506
2021-10-14,477.6000061035156,498.0,477.6000061035156,498.0,60659
2021-10-15,493.79998779296875,511.0,493.79998779296875,511.0,39310
2021-10-18,509.0,527.0,508.0,520.5,45201
2021-10-19,520.0,526.0,515.0,521.0,47092
2021-10-20,521.5,525.0,514.5,522.0,28798
2021-10-21,521.0,530.0,516.5,528.0,46907
2021-10-22,528.0,542.5,519.5,519.5,43827
2021-10-25,520.0,531.5,520.0,530.0,31161
2021-10-26,530.0,538.0,524.5,537.0,22349
2021-10-27,537.0,557.0,531.0,553.0,58252
2021-10-28,554.0,557.5,542.0,552.5,36084
2021-10-29,551.0,597.5,545.0,564.5,73332
2021-11-02,568.0,583.5,551.0,556.0,89678
2021-11-03,576.0,578.0,523.5,526.5,50934
2021-11-04,525.0,575.0,523.0,570.0,107541
2021-11-05,573.0,583.0,565.5,569.5,69744
2021-11-08,570.0,584.0,566.0,575.0,36238
2021-11-09,569.0,578.0,555.5,555.5,20275
2021-11-10,547.5,563.0,537.5,553.0,31894
2021-11-12,562.0,575.0,553.5,562.0,89438
2021-11-15,559.5,581.0,558.0,573.0,87937
2021-11-16,573.5,584.5,557.0,569.5,71334
2021-11-17,570.0,575.0,547.0,555.0,69038
2021-11-18,552.0,552.0,499.0,499.3999938964844,146091
2021-11-19,507.5,524.5,489.3999938964844,516.5,72883
2021-11-22,512.0,540.0,512.0,530.0,69664
2021-11-23,529.5,530.0,506.0,508.5,94163
2021-11-24,508.5,525.0,508.0,513.5,137747
2021-11-25,512.5,519.0,505.5,510.0,102329
